1XHP 1YSV 1Z2J 1ZC5 28SR 2FDT 2JWV 2K66 2KOC 2L1V 2L3E 2LBJ 2LBL 2LDL 2LDT 2LHP 2LI4 2LK3 2LP9 2LPA 2LPS 2LQZ 2LU0 2LUB 2LUN 2LV0 2M12 2M21 2M22 2M24 2M4W 2M5U 2M8K 2MEQ 2MHI 2MNC 2MXL 2N2O 2N2P 2N4L 2N6S 2N6T 2N6W 2N6X 2NCI 2QH2 2QH4 2RVO 2Y95 4A4S 4A4T 4A4U 5A17 5A18 5IEM 5KH8 5KMZ 5KQE 5LSN 5LWJ 5N5C 5UF3 5UZT 5V16 5V17 5WQ1 6EZ0
2LI4 0.44 0.41 0.31 0.47 0.54 0.31 0.55 0.41 0.57 0.28 0.25 0.65 0.47 0.22 0.42 0.5 1 0.29 0.56 0.47 0.53 0.37 0.25 0.47 0.57 0.62 0.43 0.48 0.65 0.31 0.47 0.5 0.38 0.68 0.38 0.21 0.22 0.43 0.48 0.31 0.31 0.47 0.47 0.41 0.39 0.46 0.5 0.38 0.57 0.55 0.59 0.55 0.34 0.34 0.41 0.41 0.48 0.31 0.28 0.31 0.37 0.61 0.29 0.56 0.5 0.39 0.67
2LK3 0.42 0.29 0.33 0.25 0.5 0.46 0.38 0.45 0.43 0.38 0.5 0.35 0.29 0.54 0.5 0.58 0.29 1 0.56 0.47 0.17 0.25 0.42 0.58 0.42 0.62 0.65 0.38 0.65 0.5 0.35 0.45 0.54 0.42 0.38 0.42 0.33 0.39 0.43 0.42 0.33 0.5 0.5 0.38 0.29 0.42 0.67 0.38 0.21 0.41 0.23 0.23 0.46 0.46 0.5 0.5 0.38 0.5 0.38 0.21 0.42 0.3 0.42 0.25 0.29 0.39 0.42
2LP9 0.31 0.44 0.75 0.56 0.44 0.44 0.25 0.44 0.36 0.62 0.44 0.25 0.38 0.44 0.5 0.75 0.56 0.56 1 1 0.38 0.69 0.5 0.75 0.5 0.44 0.31 0.44 0.56 0.38 0.56 0.31 0.5 0.44 0.5 0.44 0.38 0.38 0.38 0.56 0.56 0.5 0.62 0.62 0.56 0.38 0.5 0.62 0.29 0.44 0.38 0.38 0.69 0.69 0.56 0.5 0.31 0.5 0.44 0.5 0.25 0.5 0.25 0.44 0.44 0.56 0.5
2LPA 0.53 0.47 0.67 0.6 0.27 0.6 0.27 0.53 0.43 0.6 0.4 0.4 0.67 0.4 0.47 0.8 0.47 0.47 1 1 0.53 0.47 0.53 0.8 0.53 0.47 0.33 0.53 0.4 0.47 0.47 0.47 0.47 0.4 0.6 0.4 0.4 0.4 0.4 0.53 0.47 0.67 0.67 0.6 0.53 0.47 0.53 0.6 0.5 0.4 0.47 0.47 0.53 0.53 0.47 0.6 0.33 0.53 0.47 0.53 0.27 0.47 0.27 0.4 0.4 0.53 0.47
2LPS 0.56 0.37 0.41 0.32 0.25 0.41 0.45 0.5 0.5 0.18 0.12 0.41 0.47 0.15 0.35 0.35 0.53 0.17 0.38 0.53 1 0.26 0.35 0.35 0.29 0.5 0.43 0.43 0.43 0.21 0.53 0.5 0.32 0.68 0.44 0.45 0.32 0.65 0.3 0.32 0.32 0.18 0.32 0.41 0.29 0.42 0.39 0.12 0.5 0.45 0.41 0.64 0.44 0.44 0.5 0.44 0.45 0.26 0.21 0.41 0.42 0.3 0.35 0.41 0.41 0.3 0.41
2LQZ 0.52 0.22 0.48 0.52 0.22 0.56 0.15 0.18 0.57 0.22 0.7 0.53 0.53 0.44 0.56 0.56 0.37 0.25 0.69 0.47 0.26 1 0.44 0.52 0.48 0.29 0.17 0.29 0.26 0.3 0.59 0.41 0.48 0.16 0.56 0.41 0.52 0.43 0.26 0.19 0.33 0.52 0.59 0.56 0.63 0.54 0.33 0.44 0.5 0.36 0.41 0.36 0.19 0.19 0.22 0.37 0.44 0.74 0.26 0.3 0.47 0.3 0.37 0.33 0.33 0.35 0.33
2LU0 0.22 0.44 0.18 0.15 0.5 0.36 0.41 0.55 0.5 0.33 0.57 0.53 0.35 0.56 0.23 0.35 0.25 0.42 0.5 0.53 0.35 0.44 1 0.32 0.46 0.5 0.35 0.38 0.48 0.52 0.53 0.73 0.23 0.42 0.45 0.34 0.59 0.52 0.3 0.53 0.58 0.4 0.55 0.33 0.71 0.5 0.72 0.38 0.57 0.55 0.59 0.55 0.47 0.47 0.55 0.51 0.52 0.67 0.41 0.26 0.47 0.48 0.39 0.34 0.32 0.39 0.52
2LUB 0.5 0.19 0.49 0.24 0.43 0.25 0.41 0.41 0.71 0.31 0.4 0.65 0.71 0.41 0.58 0.95 0.47 0.58 0.75 0.8 0.35 0.52 0.32 1 0.32 0.5 0.48 0.48 0.43 0.52 0.59 0.36 0.19 0.47 0.54 0.34 0.38 0.52 0.48 0.27 0.39 0.51 0.41 0.35 0.43 0.42 0.44 0.18 0.57 0.59 0.59 0.64 0.47 0.47 0.35 0.49 0.26 0.47 0.31 0.5 0.47 0.61 0.29 0.54 0.54 0.52 0.37
2LUN 0.43 0.3 0.39 0.25 0.32 0.5 0.43 0.36 0.57 0.36 0.46 0.59 0.47 0.26 0.46 0.43 0.57 0.42 0.5 0.53 0.29 0.48 0.46 0.32 1 0.62 0.43 0.43 0.35 0.36 0.47 0.5 0.29 0.42 0.32 0.5 0.39 0.26 0.35 0.36 0.54 0.39 0.43 0.54 0.46 0.38 0.5 0.36 0.64 0.32 0.32 0.5 0.32 0.32 0.46 0.64 0.36 0.64 0.39 0.39 0.21 0.26 0.54 0.46 0.25 0.3 0.44
2LV0 0.46 0.38 0.33 0.25 0.46 0.42 0.38 0.55 0.21 0.42 0.5 0.35 0.18 0.42 0.5 0.54 0.62 0.62 0.44 0.47 0.5 0.29 0.5 0.5 0.62 1 0.61 0.57 0.48 0.33 0.47 0.59 0.5 0.42 0.58 0.46 0.21 0.39 0.43 0.46 0.38 0.58 0.5 0.46 0.38 0.33 0.33 0.38 0.43 0.36 0.36 0.36 0.29 0.29 0.5 0.38 0.46 0.42 0.42 0.33 0.42 0.48 0.46 0.29 0.25 0.26 0.5
2M12 0.26 0.39 0.43 0.39 0.48 0.52 0.26 0.59 0.5 0.35 0.52 0.53 0.29 0.52 0.43 0.52 0.43 0.65 0.31 0.33 0.43 0.17 0.35 0.48 0.43 0.61 1 0.43 0.52 0.74 0.53 0.32 0.48 0.47 0.22 0.43 0.35 0.39 0.39 0.43 0.52 0.48 0.48 0.43 0.3 0.43 0.22 0.48 0.5 0.23 0.23 0.23 0.43 0.43 0.35 0.52 0.26 0.57 0.48 0.43 0.21 0.35 0.48 0.48 0.26 0.35 0.43
2M21 0.43 0.48 0.48 0.43 0.43 0.43 0.24 0.33 0.43 0.62 0.38 0.18 0.47 0.43 0.48 0.48 0.48 0.38 0.44 0.53 0.43 0.29 0.38 0.48 0.43 0.57 0.43 1 0.43 0.43 0.41 0.38 0.38 0.47 0.24 0.24 0.19 0.24 0.33 0.48 0.43 0.48 0.48 0.48 0.43 0.24 0.5 0.48 0.29 0.38 0.33 0.33 0.48 0.48 0.62 0.48 0.43 0.38 0.43 0.43 0.16 0.38 0.29 0.52 0.52 0.38 0.48
2M22 0.26 0.39 0.57 0.48 0.57 0.43 0.26 0.55 0.57 0.43 0.43 0.29 0.35 0.43 0.61 0.48 0.65 0.65 0.56 0.4 0.43 0.26 0.48 0.43 0.35 0.48 0.52 0.43 1 0.48 0.35 0.73 0.43 0.53 0.26 0.22 0.26 0.43 0.26 0.48 0.39 0.52 0.52 0.43 0.35 0.43 0.44 0.43 0.5 0.23 0.23 0.23 0.22 0.22 0.48 0.39 0.3 0.43 0.39 0.3 0.42 0.48 0.22 0.52 0.52 0.43 0.48
2M24 0.24 0.41 0.41 0.28 0.46 0.41 0.21 0.86 0.57 0.38 0.41 0.53 0.47 0.41 0.59 0.52 0.31 0.5 0.38 0.47 0.21 0.3 0.52 0.52 0.36 0.33 0.74 0.43 0.48 1 0.47 0.45 0.45 0.42 0.45 0.41 0.24 0.61 0.48 0.45 0.55 0.48 0.48 0.59 0.21 0.42 0.56 0.38 0.5 0.36 0.41 0.36 0.31 0.31 0.48 0.52 0.21 0.45 0.21 0.41 0.26 0.35 0.34 0.52 0.21 0.3 0.41
2M4W 0.29 0.35 0.41 0.35 0.47 0.47 0.53 0.47 0.21 0.35 0.41 0.41 0.41 0.47 0.47 0.53 0.47 0.35 0.56 0.47 0.53 0.59 0.53 0.59 0.47 0.47 0.53 0.41 0.35 0.47 1 0.29 0.29 0.47 0.59 0.53 0.53 0.35 0.41 0.47 0.47 0.47 0.47 0.41 0.59 0.24 0.59 0.47 0.36 0.41 0.41 0.47 0.35 0.35 0.47 0.47 0.29 0.29 0.41 0.47 0.24 0.65 0.47 0.47 0.41 0.47 0.53
2M5U 0.27 0.5 0.55 0.32 0.45 0.45 0.55 0.32 0.43 0.55 0.45 0.47 0.35 0.23 0.32 0.32 0.5 0.45 0.31 0.47 0.5 0.41 0.73 0.36 0.5 0.59 0.32 0.38 0.73 0.45 0.29 1 0.55 0.16 0.45 0.5 0.27 0.45 0.5 0.5 0.27 0.59 0.55 0.45 0.45 0.27 0.5 0.64 0.57 0.36 0.41 0.41 0.32 0.32 0.55 0.23 0.23 0.32 0.41 0.45 0.37 0.27 0.55 0.32 0.27 0.55 0.36
2M8K 0.12 0.48 0.13 0.32 0.36 0.39 0.21 0.45 0.5 0.53 0.49 0.53 0.53 0.44 0.35 0.3 0.38 0.54 0.5 0.47 0.32 0.48 0.23 0.19 0.29 0.5 0.48 0.38 0.43 0.45 0.29 0.55 1 0.37 0.23 0.41 0.38 0.43 0.65 0.48 0.33 0.26 0.48 0.42 0.43 0.38 0.5 0.53 0.43 0.18 0.18 0.18 0.34 0.34 0.44 0.36 0.32 0.42 0.55 0.12 0.32 0.48 0.45 0.15 0.34 0.22 0.3
2MEQ 0.42 0.42 0.47 0.53 0.47 0.53 0.53 0.42 0.21 0.47 0.16 0.47 0.41 0.42 0.63 0.47 0.68 0.42 0.44 0.4 0.68 0.16 0.42 0.47 0.42 0.42 0.47 0.47 0.53 0.42 0.47 0.16 0.37 1 0.42 0.47 0.53 0.42 0.58 0.47 0.47 0.53 0.47 0.42 0.58 0.53 0.17 0.16 0.21 0.16 0.16 0.37 0.42 0.42 0.47 0.47 0.47 0.42 0.11 0.26 0.47 0.53 0.26 0.42 0.42 0.42 0.63
2MHI 0.53 0.52 0.44 0.44 0.29 0.31 0.38 0.27 0.57 0.31 0.23 0.53 0.53 0.15 0.23 0.43 0.38 0.38 0.5 0.6 0.44 0.56 0.45 0.54 0.32 0.58 0.22 0.24 0.26 0.45 0.59 0.45 0.23 0.42 1 0.21 0.26 0.61 0.35 0.28 0.47 0.36 0.34 0.35 0.43 0.58 0.5 0.21 0.57 0.36 0.36 0.36 0.44 0.44 0.38 0.19 0.48 0.33 0.34 0.38 0.21 0.35 0.35 0.22 0.46 0.48 0.33
2MNC 0.31 0.19 0.45 0.38 0.32 0.45 0.38 0.45 0.36 0.41 0.48 0.24 0.65 0.15 0.41 0.38 0.21 0.42 0.44 0.4 0.45 0.41 0.34 0.34 0.5 0.46 0.43 0.24 0.22 0.41 0.53 0.5 0.41 0.47 0.21 1 0.34 0.3 0.3 0.31 0.28 0.55 0.38 0.52 0.39 0.42 0.44 0.34 0.43 0.36 0.36 0.41 0.34 0.34 0.45 0.48 0.14 0.52 0.34 0.21 0.16 0.39 0.86 0.45 0.45 0.48 0.44
2MXL 0.19 0.19 0.51 0.49 0.57 0.39 0.52 0.5 0.5 0.17 0.46 0.47 0.47 0.41 0.26 0.22 0.22 0.33 0.38 0.4 0.32 0.52 0.59 0.38 0.39 0.21 0.35 0.19 0.26 0.24 0.53 0.27 0.38 0.53 0.26 0.34 1 0.57 0.57 0.15 0.22 0.33 0.46 0.23 0.29 0.29 0.5 0.32 0.5 0.32 0.32 0.36 0.47 0.47 0.51 0.49 0.42 0.19 0.31 0.29 0.47 0.48 0.29 0.36 0.36 0.43 0.33
2N2O 0.48 0.39 0.26 0.39 0.39 0.48 0.48 0.45 0.43 0.43 0.13 0.24 0.29 0.61 0.3 0.48 0.43 0.39 0.38 0.4 0.65 0.43 0.52 0.52 0.26 0.39 0.39 0.24 0.43 0.61 0.35 0.45 0.43 0.42 0.61 0.3 0.57 1 0.83 0.52 0.48 0.35 0.39 0.3 0.39 0.39 0.33 0.48 0.36 0.27 0.27 0.27 0.26 0.26 0.39 0.52 0.43 0.43 0.48 0.52 0.42 0.22 0.52 0.52 0.13 0.26 0.22
2N2P 0.48 0.43 0.22 0.43 0.35 0.17 0.39 0.41 0.5 0.22 0.43 0.41 0.47 0.35 0.39 0.43 0.48 0.43 0.38 0.4 0.3 0.26 0.3 0.48 0.35 0.43 0.39 0.33 0.26 0.48 0.41 0.5 0.65 0.58 0.35 0.3 0.57 0.83 1 0.48 0.48 0.48 0.52 0.43 0.35 0.43 0.39 0.48 0.43 0.27 0.32 0.23 0.35 0.35 0.61 0.48 0.43 0.52 0.22 0.43 0.42 0.17 0.52 0.57 0.52 0.35 0.39
2N4L 0.19 0.44 0.6 0.56 0.39 0.53 0.55 0.64 0.5 0.53 0.63 0.35 0.47 0.56 0.35 0.43 0.31 0.42 0.56 0.53 0.32 0.19 0.53 0.27 0.36 0.46 0.43 0.48 0.48 0.45 0.47 0.5 0.48 0.47 0.28 0.31 0.15 0.52 0.48 1 0.47 0.36 0.47 0.42 0.43 0.54 0.56 0.38 0.43 0.45 0.5 0.45 0.59 0.59 0.13 0.28 0.29 0.5 0.34 0.35 0.53 0.35 0.45 0.34 0.15 0.39 0.3
2N6S 0.41 0.48 0.31 0.17 0.32 0.5 0.31 0.5 0.57 0.33 0.17 0.47 0.59 0.56 0.52 0.42 0.31 0.33 0.56 0.47 0.32 0.33 0.58 0.39 0.54 0.38 0.52 0.43 0.39 0.55 0.47 0.27 0.33 0.47 0.47 0.28 0.22 0.48 0.48 0.47 1 0.67 1 0.56 0.32 0.58 0.39 0.24 0.5 0.55 0.55 0.55 0.28 0.28 0.56 0.36 0.42 0.44 0.34 0.5 0.47 0.52 0.29 0.36 0.36 0.35 0.48
2N6T 0.38 0.52 0.48 0.17 0.29 0.33 0.28 0.45 0.5 0.28 0.2 0.41 0.53 0.48 0.42 0.65 0.47 0.5 0.5 0.67 0.18 0.52 0.4 0.51 0.39 0.58 0.48 0.48 0.52 0.48 0.47 0.59 0.26 0.53 0.36 0.55 0.33 0.35 0.48 0.36 0.67 1 0.9 0.67 0.54 0.42 0.56 0.32 0.29 0.18 0.18 0.18 0.31 0.31 0.5 0.52 0.35 0.5 0.28 0.38 0.53 0.39 0.45 0.41 0.44 0.52 0.41
2N6W 0.31 0.44 0.13 0.15 0.29 0.44 0.41 0.64 0.5 0.5 0.26 0.41 0.53 0.44 0.42 0.41 0.47 0.5 0.62 0.67 0.32 0.59 0.55 0.41 0.43 0.5 0.48 0.48 0.52 0.48 0.47 0.55 0.48 0.47 0.34 0.38 0.46 0.39 0.52 0.47 1 0.9 1 0.86 0.54 0.42 0.5 0.41 0.43 0.41 0.45 0.41 0.5 0.5 0.46 0.49 0.48 0.53 0.41 0.41 0.47 0.48 0.42 0.49 0.46 0.52 0.41
2N6X 0.5 0.33 0.21 0.22 0.39 0.42 0.31 0.73 0.57 0.44 0.34 0.29 0.29 0.33 0.55 0.51 0.41 0.38 0.62 0.6 0.41 0.56 0.33 0.35 0.54 0.46 0.43 0.48 0.43 0.59 0.41 0.45 0.42 0.42 0.35 0.52 0.23 0.3 0.43 0.42 0.56 0.67 0.86 1 0.61 0.5 0.44 0.41 0.21 0.27 0.27 0.27 0.41 0.41 0.14 0.47 0.26 0.69 0.38 0.35 0.37 0.52 0.52 0.44 0.37 0.57 0.33
2NCI 0.36 0.33 0.36 0.36 0.36 0.25 0.43 0.27 0.43 0.29 0.29 0.59 0.65 0.3 0.36 0.32 0.39 0.29 0.56 0.53 0.29 0.63 0.71 0.43 0.46 0.38 0.3 0.43 0.35 0.21 0.59 0.45 0.43 0.58 0.43 0.39 0.29 0.39 0.35 0.43 0.32 0.54 0.54 0.61 1 0.42 0.5 0.25 0.5 0.41 0.45 0.41 0.54 0.54 0.46 0.32 0.32 0.71 0.32 0.43 0.53 0.65 0.39 0.43 0.29 0.61 0.41
2QH2 0.42 0.21 0.42 0.42 0.25 0.25 0.21 0.45 0.5 0.46 0.38 0.47 0.35 0.21 0.5 0.46 0.46 0.42 0.38 0.47 0.42 0.54 0.5 0.42 0.38 0.33 0.43 0.24 0.43 0.42 0.24 0.27 0.38 0.53 0.58 0.42 0.29 0.39 0.43 0.54 0.58 0.42 0.42 0.5 0.42 1 0.5 0.38 0.5 0.36 0.41 0.55 0.29 0.29 0.42 0.33 0.33 0.5 0.5 0.33 0.26 0.35 0.38 0.54 0.62 0.35 0.42
2QH4 0.44 0.44 0.44 0.33 0.39 0.33 0.28 0.39 0.86 0.44 0.39 0.24 0.29 0.28 0.5 0.44 0.5 0.67 0.5 0.53 0.39 0.33 0.72 0.44 0.5 0.33 0.22 0.5 0.44 0.56 0.59 0.5 0.5 0.17 0.5 0.44 0.5 0.33 0.39 0.56 0.39 0.56 0.5 0.44 0.5 0.5 1 0.44 0.71 0.56 0.44 0.33 0.28 0.28 0.5 0.28 0.39 0.39 0.39 0.44 0.28 0.44 0.44 0.44 0.44 0.39 0.5
2RVO 0.31 0.52 0.26 0.53 0.57 0.5 0.41 0.41 0.57 0.29 0.47 0.59 0.47 0.44 0.42 0.18 0.38 0.38 0.62 0.6 0.12 0.44 0.38 0.18 0.36 0.38 0.48 0.48 0.43 0.38 0.47 0.64 0.53 0.16 0.21 0.34 0.32 0.48 0.48 0.38 0.24 0.32 0.41 0.41 0.25 0.38 0.44 1 0.64 0.27 0.27 0.32 0.5 0.5 0.44 0.35 0.29 0.41 0.31 0.26 0.42 0.43 0.61 0.41 0.38 0.13 0.37
2Y95 0.43 0.21 0.5 0.5 0.57 0.57 0.5 0.43 0.79 0.36 0.64 0.29 0.5 0.29 0.57 0.5 0.57 0.21 0.29 0.5 0.5 0.5 0.57 0.57 0.64 0.43 0.5 0.29 0.5 0.5 0.36 0.57 0.43 0.21 0.57 0.43 0.5 0.36 0.43 0.43 0.5 0.29 0.43 0.21 0.5 0.5 0.71 0.64 1 0.43 0.29 0.43 0.43 0.43 0.57 0.64 0.36 0.5 0.5 0.5 0.21 0.43 0.36 0.5 0.5 0.43 0.5
